uid,rq_index,rq_text,metric_candidates,data_assets,next_internal_change,external_dependency,primary_sources,evidence_confidence
U14,1,To what extent do you require fixed granularity of data/code/evaluation environment?,Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report",https://doi.org/10.1016/j.jneumeth.2023.109931 | https://bids-specification.readthedocs.io/en/stable/ | https://arxiv.org/abs/2311.04912 | https://zenodo.org/records/18201723,"Medium to high (progress in standardization, lack of failure disclosure and operation)"
U14,2,How to operationally separate exploratory research and validation research.,Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report",https://doi.org/10.1016/j.jneumeth.2023.109931 | https://bids-specification.readthedocs.io/en/stable/ | https://arxiv.org/abs/2311.04912 | https://zenodo.org/records/18201723,"Medium to high (progress in standardization, lack of failure disclosure and operation)"
U14,3,"How to audit leaks, overfitting, and reporting bias on leaderboards.",Reproduction success rate; environment fixation rate; failure reproduction time; leak detection rate; cross-validation deviation,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report",https://doi.org/10.1016/j.jneumeth.2023.109931 | https://bids-specification.readthedocs.io/en/stable/ | https://arxiv.org/abs/2311.04912 | https://zenodo.org/records/18201723,"Medium to high (progress in standardization, lack of failure disclosure and operation)"
U14,4,How to integrate the Model Card/Dataset Card into the evaluation contract.,Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report",https://doi.org/10.1016/j.jneumeth.2023.109931 | https://bids-specification.readthedocs.io/en/stable/ | https://arxiv.org/abs/2311.04912 | https://zenodo.org/records/18201723,"Medium to high (progress in standardization, lack of failure disclosure and operation)"
U14,5,How to publish failed reproduction cases as a negative example registry and operate the retry cycle.,Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report",https://doi.org/10.1016/j.jneumeth.2023.109931 | https://bids-specification.readthedocs.io/en/stable/ | https://arxiv.org/abs/2311.04912 | https://zenodo.org/records/18201723,"Medium to high (progress in standardization, lack of failure disclosure and operation)"
U14,6,"If container fixation (OS, dependent libraries, random number seeds) is made mandatory, how much increase in reproduction cost can be tolerated?",Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report",https://doi.org/10.1016/j.jneumeth.2023.109931 | https://bids-specification.readthedocs.io/en/stable/ | https://arxiv.org/abs/2311.04912 | https://zenodo.org/records/18201723,"Medium to high (progress in standardization, lack of failure disclosure and operation)"
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Legal compliance rate; Stop criteria activation time; Audit trail completeness,Integrated ledger of technical KPI + legal KPI,Add system integration KPI matrix to proposals.md,"Responsible for: Governance Committee, Prerequisites: Jurisdictional mapping, Completion conditions: Operational approval of audit criteria and suspension conditions",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/ | https://www.iso.org/standard/42001,"High (official standards are clear, applicable detailed regulations are lacking)"
U15,2,How should neurorights be mapped onto technical audit items?,Legal compliance rate; Stop criteria activation time; Audit trail completeness,Integrated ledger of technical KPI + legal KPI,Add system integration KPI matrix to proposals.md,"Responsible for: Governance Committee, Prerequisites: Jurisdictional mapping, Completion conditions: Operational approval of audit criteria and suspension conditions",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/ | https://www.iso.org/standard/42001,"High (official standards are clear, applicable detailed regulations are lacking)"
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Legal compliance rate; Outage criteria activation time; Audit trail completeness; Jurisdictional coverage; Interoperability rate,Integrated ledger of technical KPI + legal KPI,Add system integration KPI matrix to proposals.md,"Responsible for: Governance Committee, Prerequisites: Jurisdictional mapping, Completion conditions: Operational approval of audit criteria and suspension conditions",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/ | https://www.iso.org/standard/42001,"High (official standards are clear, applicable detailed regulations are lacking)"
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Legal compliance rate; Stop criteria activation time; Audit trail completeness,Integrated ledger of technical KPI + legal KPI,Add system integration KPI matrix to proposals.md,"Responsible for: Governance Committee, Prerequisites: Jurisdictional mapping, Completion conditions: Operational approval of audit criteria and suspension conditions",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/ | https://www.iso.org/standard/42001,"High (official standards are clear, applicable detailed regulations are lacking)"
