qa_id,question,phase_anchor_topic,eeg_data_verdict,deep_reason,grant_theme,recommended_support_type,candidate_programs,eeg_data_slices,candidate_dataset_examples,first_metrics,12_week_deliverable,main_risk
V3,一般化：分布外（OOD）でも“本人らしさ”は保てる？,Phase4: 検証,△,V3 は一部要件のみ公開EEGで検証できる。強い主張は避け、睡眠/意識状態; ERP/P300; 測定基盤 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した一般化：分布外（OOD）でも“本人らしさ”は保てるの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; ERP/P300; 測定基盤,101-nights / Physiological Indicators of Driver Sleepiness / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,事前登録遵守率; OOD gap; drift,v3_scope_and_gap_note,proxy過大解釈
V4,長期：学習・ドリフト・忘却の扱いをどう評価する？,Phase4: 検証,△,V4 は一部要件のみ公開EEGで検証できる。強い主張は避け、睡眠/意識状態; ERP/P300; 測定基盤 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した長期：学習・ドリフト・忘却の扱いをどう評価するの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; ERP/P300; 測定基盤,101-nights / Physiological Indicators of Driver Sleepiness / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,事前登録遵守率; OOD gap; drift,v4_scope_and_gap_note,proxy過大解釈
V5,本人性：心理的連続性を超えた“因果的同一性”とは？,Phase4: 同一性限界,×,V5 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、睡眠/意識状態; resting/connectivity を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した本人性：心理的連続性を超えた“因果的同一性”とはの要件定義,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; resting/connectivity,101-nights / Physiological Indicators of Driver Sleepiness / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,事前登録遵守率; OOD gap; drift,v5_precondition_memo,proxy過大解釈
V6,意識：理論に依存した予測を、どこまで“検証可能”にできる？,Phase4: 意識理論検証限界,×,V6 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、睡眠/意識状態; ERP/P300 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した意識：理論に依存した予測を、どこまで“検証可能”にできるの要件定義,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; ERP/P300,101-nights / Physiological Indicators of Driver Sleepiness / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,事前登録遵守率; OOD gap; drift,v6_precondition_memo,proxy過大解釈
V7,コピー/分岐：複数インスタンスが走ったら“本人”はどう扱う？,Phase4: コピー/分岐統治,×,V7 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、カタログメタデータ; 測定基盤 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解したコピー/分岐：複数インスタンスが走ったら“本人”はどう扱うの要件定義,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,カタログメタデータ; 測定基盤,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,事前登録遵守率; OOD gap; drift,v7_precondition_memo,proxy過大解釈
V8,LLM/模倣との区別：外形が似ていても“中身が違う”をどう判定する？,Phase4: 検証,△,V8 は一部要件のみ公開EEGで検証できる。強い主張は避け、睡眠/意識状態; ERP/P300; 測定基盤 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定したLLM/模倣との区別：外形が似ていても“中身が違う”をどう判定するの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; ERP/P300; 測定基盤,101-nights / Physiological Indicators of Driver Sleepiness / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,事前登録遵守率; OOD gap; drift,v8_scope_and_gap_note,proxy過大解釈
V9,追試：第三者が“同じ結論”に到達できる設計になっている？,Phase1-4: 追試可能性,○,V9 は既存公開EEGのタスク群で評価軸を固定しやすく、測定基盤; カタログメタデータ の横断比較で12週の再現成果まで到達可能。,公開EEGでの追試：第三者が“同じ結論”に到達できる設計になっているの再現ベンチマーク化,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; カタログメタデータ,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,事前登録遵守率; OOD gap; drift,v9_benchmark_v1,proxy過大解釈
V10,モデル距離：生体脳とエミュレーションの“近さ”をどう測る？,Phase4: 検証,△,V10 は一部要件のみ公開EEGで検証できる。強い主張は避け、睡眠/意識状態; ERP/P300; 測定基盤 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定したモデル距離：生体脳とエミュレーションの“近さ”をどう測るの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; ERP/P300; 測定基盤,101-nights / Physiological Indicators of Driver Sleepiness / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,事前登録遵守率; OOD gap; drift,v10_scope_and_gap_note,proxy過大解釈
V11,トポロジー：意識の“構造”は保存されているか？,Phase4: トポロジー保存限界,×,V11 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、resting/connectivity; 睡眠/意識状態 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解したトポロジー：意識の“構造”は保存されているかの要件定義,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,resting/connectivity; 睡眠/意識状態,Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness / 101-nights / Physiological Indicators of Driver Sleepiness,事前登録遵守率; OOD gap; drift,v11_precondition_memo,proxy過大解釈
D0,倫理的フレームワーク：エミュレートされた存在の権利は？,Phase4: 倫理フレーム構築,×,D0 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、カタログメタデータ; 測定基盤 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した倫理的フレームワーク：エミュレートされた存在の権利はの要件定義,activity_grant,会議開催費助成公募 / 日本万国博覧会記念基金,カタログメタデータ; 測定基盤,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,統治ルール明確性; 監査可能性,d0_precondition_memo,制度設計が先行不足
D1,同意と撤回：本人のインフォームドコンセントをどう設計する？,Phase4: 同意/撤回設計,×,D1 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、カタログメタデータ; 測定基盤 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した同意と撤回：本人のインフォームドコンセントをどう設計するの要件定義,activity_grant,会議開催費助成公募 / 日本万国博覧会記念基金,カタログメタデータ; 測定基盤,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,統治ルール明確性; 監査可能性,d1_precondition_memo,制度設計が先行不足
D2,アクセスと公正：誰がWBEにアクセスできるべきか？,Phase4: 公正性設計,×,D2 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、カタログメタデータ; 測定基盤 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解したアクセスと公正：誰がWBEにアクセスできるべきかの要件定義,activity_grant,会議開催費助成公募 / 日本万国博覧会記念基金,カタログメタデータ; 測定基盤,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,統治ルール明確性; 監査可能性,d2_precondition_memo,制度設計が先行不足
D3,安全保障：悪用リスクと制御をどう設計する？,Phase4: 安全保障設計,×,D3 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、カタログメタデータ; 測定基盤 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した安全保障：悪用リスクと制御をどう設計するの要件定義,activity_grant,会議開催費助成公募 / 日本万国博覧会記念基金,カタログメタデータ; 測定基盤,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,統治ルール明確性; 監査可能性,d3_precondition_memo,制度設計が先行不足
